task,model,group,n_dropped,baseline_f1,ablated_f1,delta
5class,CosineSimilarity,metarnn,2,0.4527572320411749,0.4516664840770096,0.0010907479641653062
5class,HistGradientBoosting,bayesdel,4,0.7983976382448654,0.7987685770126974,-0.0003709387678320075
5class,DecisionTree,bayesdel,4,0.7292430588439925,0.7378876378535317,-0.008644579009539188
5class,LinearSVC,bayesdel,4,0.7185925261309196,0.7105163861948001,0.008076139936119553
5class,SGDClassifier,bayesdel,4,0.6782762437007495,0.6835245790717169,-0.005248335370967472
5class,AdaBoost,bayesdel,4,0.672985020891321,0.6724854916509945,0.0004995292403264795
5class,LDA,bayesdel,4,0.6640918979978673,0.6597617611568976,0.004330136840969723
5class,RidgeClassifier,bayesdel,4,0.6573712559773094,0.6591359404125112,-0.0017646844352018354
5class,QDA,bayesdel,4,0.612348490793616,0.6077452680376715,0.004603222755944492
5class,KNN,bayesdel,4,0.6078104042796253,0.6056999739163003,0.002110430363325033
5class,NearestCentroid,bayesdel,4,0.4528481796843914,0.4453199993302809,0.007528180354110514
5class,CosineSimilarity,bayesdel,4,0.4527572320411749,0.4495933185476286,0.003163913493546333
5class,HistGradientBoosting,chasmplus,68,0.7983976382448654,0.7955955168689455,0.0028021213759199526
5class,DecisionTree,chasmplus,68,0.7292430588439925,0.7315691613563802,-0.002326102512387629
5class,LinearSVC,chasmplus,68,0.7185925261309196,0.7110527189726593,0.007539807158260303
5class,SGDClassifier,chasmplus,68,0.6782762437007495,0.6888419689656267,-0.010565725264877202
5class,AdaBoost,chasmplus,68,0.672985020891321,0.6695172024685415,0.003467818422779434
5class,LDA,chasmplus,68,0.6640918979978673,0.6591776343199973,0.004914263677869957
5class,RidgeClassifier,chasmplus,68,0.6573712559773094,0.6503661398684185,0.007005116108890874
5class,QDA,chasmplus,68,0.612348490793616,0.5544338531811585,0.05791463761245752
5class,KNN,chasmplus,68,0.6078104042796253,0.6085577522602005,-0.0007473479805751859
5class,NearestCentroid,chasmplus,68,0.4528481796843914,0.4805007710097736,-0.027652591325382225
